ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
481621265,2026-04-14T03:52:47,2026-04-14T04:08:08,buy,0.3,0.3,BTCUSDm,74471.87,74510.71,,74510.71,,,11.65,,,tp
481610953,2026-04-14T03:33:24,2026-04-14T03:36:41,sell,0.3,0.3,BTCUSDm,74396.39,74356.49,,74329.33,,,11.97,,,user
481607306,2026-04-14T03:26:36,2026-04-14T03:31:42,buy,0.3,0.3,BTCUSDm,74345.43,74364.19,,,,,5.63,,,user
481603228,2026-04-14T03:19:37,2026-04-14T03:20:03,buy,0.3,0.3,BTCUSDm,74371.44,74397.23,,,,,7.74,,,user
481388738,2026-04-13T23:02:04,2026-04-14T00:00:38,sell,0.3,0.3,BTCUSDm,74517.69,74493.96,,74420.62,,,7.12,,,user
481383837,2026-04-13T22:58:44,2026-04-13T23:01:55,sell,0.3,0.3,BTCUSDm,74633.92,74554.07,,,,,23.96,,,user
481294639,2026-04-13T20:01:40,2026-04-13T22:14:35,buy,0.3,0.3,BTCUSDm,73406.63,73700.47,,73700.47,,,88.15,,,tp
481326263,2026-04-13T21:40:24,2026-04-13T21:52:16,sell,0.3,0.3,BTCUSDm,73306.89,73295.90000000001,,,,,3.3,,,user
481324344,2026-04-13T21:33:53,2026-04-13T21:37:20,buy,0.3,0.3,BTCUSDm,73256.21,73250.40000000001,,,,,-1.74,,,user
481317727,2026-04-13T20:53:04,2026-04-13T20:56:11,buy,0.3,0.3,BTCUSDm,73209.08,73234.71,,73274.83,,,7.69,,,user
481288458,2026-04-13T19:51:55,2026-04-13T19:53:55,buy,0.3,0.3,BTCUSDm,73439.74,73463.26,,73703.77,,,7.06,,,user
479927744,2026-04-11T23:22:31,2026-04-13T19:47:28,buy,0.3,0.3,BTCUSDm,73192.73,73221.17,,73730.18,,,8.53,,,user
481260075,2026-04-13T19:21:02,2026-04-13T19:27:12,buy,0.3,0.3,BTCUSDm,72616.78,72889.17,,73016.77,,,81.72,,,user
481258724,2026-04-13T19:18:24,2026-04-13T19:19:09,buy,0.3,0.3,BTCUSDm,72530.82,72576.95,,,,,13.84,,,user
481257334,2026-04-13T19:17:01,2026-04-13T19:17:13,sell,0.3,0.3,BTCUSDm,72602.48,72552.77,,,,,14.91,,,user
481256439,2026-04-13T19:16:11,2026-04-13T19:16:30,buy,0.3,0.3,BTCUSDm,72450.85,72518.24,,,,,20.21,,,user
481255236,2026-04-13T19:15:08,2026-04-13T19:16:08,buy,0.3,0.3,BTCUSDm,72391.69,72412.61,,,,,6.27,,,user
480444037,2026-04-13T03:27:37,2026-04-13T04:31:33,buy,0.3,0.3,BTCUSDm,71084.97,71101.8,,71101.8,,,5.05,,,tp
480398433,2026-04-13T02:27:12,2026-04-13T02:37:25,sell,0.3,0.3,BTCUSDm,71187.52,71140.82,,71140.82,,,14.01,,,tp
480381450,2026-04-13T02:03:31,2026-04-13T02:07:21,sell,0.3,0.3,BTCUSDm,71200.98,71179.03,,71151.98,,,6.58,,,user
480377822,2026-04-13T01:58:38,2026-04-13T02:00:24,buy,0.3,0.3,BTCUSDm,71233.06,71282.61,,71282.61,,,14.86,,,tp
480369045,2026-04-13T01:50:22,2026-04-13T01:58:14,buy,0.3,0.3,BTCUSDm,71172.61,71201.45,,71278.92,,,8.66,,,user
480353465,2026-04-13T01:34:06,2026-04-13T01:42:39,sell,0.3,0.3,BTCUSDm,71146.04,71123.95,,,,,6.62,,,user
480352054,2026-04-13T01:32:21,2026-04-13T01:33:16,buy,0.3,0.3,BTCUSDm,71102.04,71123.33,,,,,6.39,,,user
480341230,2026-04-13T01:19:08,2026-04-13T01:19:55,buy,0.3,0.3,BTCUSDm,71102.03,71139.77,,71198.59,,,11.32,,,user
479915978,2026-04-11T22:33:29,2026-04-11T22:43:32,buy,0.3,0.3,BTCUSDm,73360.59,73375.06,,73466.41,,,4.34,,,user
479914488,2026-04-11T22:26:44,2026-04-11T22:29:57,buy,0.3,0.3,BTCUSDm,73448.3,73482.93000000001,,,,,10.39,,,user
479755856,2026-04-11T01:36:13,2026-04-11T04:00:41,sell,0.3,0.3,BTCUSDm,72885.31,72851.93,,72851.93,,,10.01,,,tp
479758311,2026-04-11T01:51:59,2026-04-11T01:53:33,sell,0.3,0.3,BTCUSDm,72998.67,72991.49,,,,,2.15,,,user
